Year,Month,total,season
2017,1,28,rainy
2017,2,32,rainy
2017,3,14,rainy
2017,4,7,dry
2017,5,23,dry
2017,6,28,dry
2017,7,23,dry
2017,8,11,dry
2017,9,9,dry
2017,10,7,rainy
2017,11,8,rainy
2017,12,13,rainy
2018,1,8,rainy
2018,3,2,rainy
2018,5,1,dry
2018,6,12,dry
2018,7,2,dry
2018,8,3,dry
2018,9,1,dry
2018,10,4,rainy
2018,11,7,rainy
2018,12,10,rainy
2019,1,7,rainy
2019,2,5,rainy
2019,3,3,rainy
2019,4,8,dry
2019,5,13,dry
2019,6,9,dry
2019,7,27,dry
2019,8,36,dry
2019,9,21,dry
2019,10,13,rainy
2019,11,24,rainy
2019,12,32,rainy
2020,1,49,rainy
2020,2,27,rainy
2020,3,20,rainy
2020,4,14,dry
2020,5,25,dry
2020,6,29,dry
2020,7,26,dry
2020,8,6,dry
2020,9,3,dry
2020,10,3,rainy
2020,11,9,rainy
2020,12,18,rainy
2021,1,13,rainy
2021,2,10,rainy
2021,3,5,rainy
2021,4,6,dry
2021,5,17,dry
2021,6,21,dry
2021,7,23,dry
2021,8,9,dry
2021,9,10,dry
2021,10,1,rainy
2021,11,7,rainy
2021,12,15,rainy
2022,1,27,rainy
2022,2,12,rainy
2022,3,6,rainy
2022,4,8,dry
2022,5,21,dry
2022,6,28,dry
2022,7,33,dry
2022,8,16,dry
2022,9,7,dry
2022,10,6,rainy
2022,11,6,rainy
2022,12,6,rainy
2023,1,12,rainy
2023,2,11,rainy
2023,3,6,rainy
2023,4,7,dry
2023,5,24,dry
2023,6,48,dry
2023,7,47,dry
2023,8,21,dry
2023,9,3,dry
