Zone,Season,Time,Tide,temp_mean,temp_sd,temp_median,temp_max,temp_min,salinity_mean,salinity_sd,Salinity_median,salinity_max,salinity_min
Ambient,FALL,Day,High,27.54221084846154,0.36710604914829764,27.46158297,28.49729411,27.02672311,34.60336611076923,0.02408000821389556,34.60689649,34.63186558,34.55635501
Ambient,FALL,Day,Low,26.808894832307693,0.574981770090499,26.93993178,27.8797316,25.90139646,34.48955967384615,0.41229374596446317,34.59932631,34.62519086,33.11795536
Ambient,FALL,Night,High,26.356387858461538,0.33125360602498183,26.38784991,27.00824746,25.82313164,34.57249848615385,0.1473983509094525,34.61348885,34.64104332,34.08662428
Ambient,FALL,Night,Low,26.304563946923075,0.44669921960411496,26.44907773,26.82956186,25.63735834,34.60367185538462,0.03410342276796265,34.60683537,34.63979181,34.557234
Ambient,SPRING,Day,High,25.595253788333334,0.2428097420746537,25.560032615,26.14198803,25.24803637,34.6160000425,0.021983150825792632,34.608874195,34.6510554,34.58799837
Ambient,SPRING,Day,Low,24.51334745,0.397585018198415,24.64398819,24.97791928,23.85659446,34.60647943307692,0.05348179859736282,34.59942514,34.66273617,34.47636764
Ambient,SPRING,Night,High,24.037267528181818,0.21478876387320656,23.96962105,24.52336819,23.72369608,34.61544535181818,0.01814806149312623,34.60865445,34.64312917,34.59327226
Ambient,SPRING,Night,Low,24.395474626153845,0.26913946124772986,24.33583742,25.02807664,23.89699277,34.63006482076923,0.029155222663042872,34.61480733,34.67149674,34.5915143
Diffuse,FALL,Day,High,27.58722126611111,0.32449222156533797,27.50838193,28.13003202,26.97355833,34.56532810777778,0.05168634142798477,34.54901898,34.64521502,34.46458038
Diffuse,FALL,Day,Low,26.528403751666666,0.6665592278283287,26.680984175,27.55117867,25.21517828,33.99844718166667,0.6612731034604318,34.16233115,34.63979181,32.71840333
Diffuse,FALL,Night,High,25.944688631666665,0.4155516459034508,26.087200655,26.5916292,25.30856245,34.458610855555555,0.30101956257745954,34.543473004999996,34.63687162,33.3515706
Diffuse,FALL,Night,Low,26.017875990555556,0.7030936407546639,26.29999622,27.06774146,24.45273464,33.30832396277778,1.642767741775529,33.775599115,34.61851614,28.02859405
Diffuse,SPRING,Day,High,25.806416326666668,0.3628248404475989,25.812412515,26.3741154,25.21517828,34.423001445555556,0.19715268284163232,34.529985550000006,34.62435652,34.08578994
Diffuse,SPRING,Day,Low,24.102373773076923,0.4491937806546517,24.00516582,24.71548058,23.26102354,33.32976383923077,1.4384999754011925,33.80420014,34.39533014,29.12292683
Diffuse,SPRING,Night,High,23.733201613333335,0.1547575530359452,23.685995315,24.05007101,23.44991079,34.32772126722222,0.3016177766441306,34.38323221,34.56953975,33.23476298
Diffuse,SPRING,Night,Low,24.102599485555555,0.3180569575833211,24.170643735,24.77716809,23.51966167,34.06920569444444,0.7692499942859883,34.46647909,34.60725254,32.10970819
Offshore,SPRING,Day,High,24.60358254,0,24.60358254,24.60358254,24.60358254,34.61744427,0.0055938086088774515,34.61744427,34.62139969,34.61348885
Offshore,SPRING,Day,Low,24.43115441,0,24.43115441,24.43115441,24.43115441,34.602062085,0.010566077428167025,34.602062085,34.60953343,34.59459074
Offshore,SPRING,Night,High,24.12984958,0,24.12984958,24.12984958,24.12984958,34.59744743,0.018335264694032117,34.59744743,34.61041242,34.58448244
Transition,FALL,Day,High,27.76234168111111,0.6083278443256446,27.86263556,28.80420676,26.89176305,34.51318415111111,0.0770000224855538,34.4882339,34.61142425,34.41527838
Transition,FALL,Day,Low,26.163405174444446,0.8071816277153366,26.66101029,27.00614145,24.83646091,32.82333628222222,1.5050007358106592,33.41498046,34.25750108,29.68899134
Transition,FALL,Night,High,25.763767235555555,0.523354307866831,25.97532077,26.29858645,24.9418639,34.332434695555555,0.3755689903326434,34.56929007,34.6343686,33.73670416
Transition,FALL,Night,Low,25.76244281888889,1.0648239335504348,26.14964391,27.23597384,24.17257622,31.652934697777777,2.8825794813229013,33.10043422,34.34735558,25.96034904
Transition,SPRING,Day,High,25.982047717777778,0.6010769301526951,25.95308568,26.93809503,25.20243729,34.307602171111114,0.20285731196880752,34.42582616,34.49658423,34.02488311
Transition,SPRING,Day,Low,23.89453881888889,0.546607112784272,24.01982367,24.36430308,22.63449814,30.10054335888889,1.6705616216701478,29.98459089,32.82124424,27.7402879
Transition,SPRING,Night,High,23.674921187777777,0.15757699013055948,23.57837763,23.88018281,23.47183421,34.09718339,0.3141119930289366,34.11123732,34.50669252,33.64150381
Transition,SPRING,Night,Low,24.04671426333333,0.5489835448755259,24.02649761,24.84828896,23.31951534,32.90601472777778,0.7815551614374513,32.73334603,34.3599025,31.50277101
